x,sin_user,sin_real,sin_abs_err,cos_user,cos_real,cos_abs_err,tan_user,tan_real,tan_abs_err
56,-0.5215509897036752,-0.5215510020869119,1.238323665830876e-08,0.8532199047192033,0.8532201077225842,2.0300338088308223e-07,-0.6112738191162088,-0.6112736881917098,1.3092449901996872e-07
57,0.436164753110356,0.43616475524782494,2.1374689240794e-09,0.8998667843634885,0.8998668269691937,4.260570518610507e-08,0.48469924736567827,0.48469922679209587,2.0573582393268453e-08
58,0.9927954058186846,0.9928726480845371,7.724226585248406e-05,0.11870316302834583,0.11918013544881928,0.0004769724204734538,8.363681139495913,8.330856852490458,0.03282428700545559
59,0.628393550120745,0.6367380071391379,0.008344457018392815,-0.8013531013240724,-0.7710802229758452,0.030272878348227228,-0.7841656182305315,-0.8257740091968151,0.04160839096628355
60,-0.2747716167185267,-0.3048106211022167,0.030039004383690004,-1.0463805029072981,-0.9524129804151563,0.0939675224921418,0.262592446968471,0.320040389379563,0.05744794241109197
61,-0.9654967766672257,-0.9661177700083929,0.0006209933411672752,-0.2611321880101858,-0.25810163593826746,0.0030305520719183243,3.69734877965165,3.7431679442724195,0.04581916462076929
62,-0.7391801743395247,-0.7391806966492228,5.223096981588071e-07,0.6735015192202815,0.6735071623235862,5.643103304753261e-06,-1.0975181989125726,-1.0975097786622852,8.420250287466402e-06
63,0.16735570030251332,0.16735570030280691,2.9359847886212265e-13,0.9858965815667058,0.9858965815825497,1.5843881762123146e-11,0.1697497520851177,0.16974975208268753,2.430167178602005e-12
64,0.9200150141657188,0.9200260381967906,1.1024031071782403e-05,0.3917725286169168,0.39185723042955,8.470181263320331e-05,2.3483397812849924,2.3478603091954366,0.000479472089555788
65,0.8240320270623094,0.8268286794901034,0.002796652427794033,-0.5739544714401659,-0.562453851238172,0.011500620201993828,-1.4357097436572785,-1.4700382576631723,0.03432851400589376
66,0.04323843412554362,-0.026551154023966794,0.06978958814951042,-1.1974746815258825,-0.99964745596635,0.19782722555953258,-0.03610801530304343,0.02656051777603939,0.06266853307908282
67,-0.8532782293602297,-0.8555199789753223,0.002241749615092603,-0.5272242187356803,-0.5177697997895051,0.009454418946175158,1.6184351914000636,1.6523172640102353,0.03388207261017162
68,-0.8979204205000988,-0.8979276806892913,7.26018919250393e-06,0.4400845685953905,0.4401430224960407,5.8453900650179413e-05,-2.0403360730551725,-2.0400815980159464,0.0002544750392261541
69,-0.11478481378317483,-0.11478481378318722,1.239286451237831e-14,0.9933903797215113,0.9933903797222716,7.602807272633072e-13,-0.11554854579460876,-0.11554854579453279,7.596701045997634e-14
70,0.7738897706606098,0.7738906815578891,9.108972792715164e-07,0.6333099539360998,0.6333192030862999,9.24915020006356e-06,1.2219763258903307,1.2219599181369434,1.6407753387293056e-05
71,0.9502529299207948,0.9510546532543747,0.0008017233335798624,-0.3128235504527432,-0.3090227281660707,0.0038008222866725005,-3.037664295240921,-3.07762040319336,0.03995610795243909
72,0.21841162014213322,0.25382336276203626,0.03541174261990304,-1.0759221771467842,-0.9672505882738824,0.10867158887290174,-0.20299945923722335,-0.26241737750193517,0.05941791826471182
73,-0.6699047484996483,-0.6767719568873076,0.006867208387659307,-0.761670812320515,-0.7361927182273159,0.025478094093199122,0.8795200468017264,0.9192864044036078,0.03976635760188141
74,-0.9850909590469642,-0.9851462604682474,5.5301421283182606e-05,0.17136277668515693,0.17171734183077755,0.0003545651456206278,-5.748570244381963,-5.737022539278999,0.011547705102963768
75,-0.38778163471639326,-0.38778163540943045,6.930371831970206e-10,0.9217512540669344,0.9217512697247493,1.5657814933511816e-08,-0.42070095701571336,-0.42070095062112434,6.394589024960595e-09
76,0.5661076084716439,0.5661076368981803,2.8426536458070473e-08,0.8243309062787136,0.8243313311075577,4.24828844103331e-07,0.6867480087908263,0.6867476893515227,3.194393035643728e-07
77,0.9993332743839769,0.9995201585807313,0.00018688419675438883,-0.03201969899972697,-0.03097503173121646,0.001044667268510508,-31.209952173269905,-32.268575775934416,1.058623602664511
78,0.4998114444114199,0.5139784559875352,0.01416701157611533,-0.9061560267076929,-0.8578030932449878,0.04835293346270508,-0.5515732717988628,-0.5991799983411151,0.04760672654225229
79,-0.42559874657510566,-0.4441126687075084,0.018513922132402716,-0.9572335071978283,-0.8959709467909631,0.061262560406865174,0.4446132979830475,0.49567753318135577,0.05106423519830827
80,-0.99360012177019,-0.9938886539233752,0.0002885321531852503,-0.11192292882840052,-0.11038724383904756,0.0015356849893529562,8.877538607782244,9.00365494560708,0.12611633782483622
81,-0.6298879073631776,-0.6298879942744539,8.691127628690509e-08,0.7766848351788044,0.7766859820216312,1.1468428268157638e-06,-0.8109955014354928,-0.8109944158318942,1.0856035985717938e-06
82,0.3132287823399907,0.31322878243308516,9.309447657201986e-11,0.9496776952531347,0.9496776978825432,2.6294084687350505e-09,0.3298264073228551,0.32982640650767975,8.151753716489907e-10
83,0.968331773302178,0.9683644611001854,3.2687798007358104e-05,0.24931778705862087,0.24954011797333814,0.00022233091471726696,3.883925750851057,3.880596310384246,0.00332944046681094
84,0.7281058869903788,0.7331903200732922,0.005084433082913398,-0.6995495351714032,-0.6800234955873388,0.019526039584064403,-1.0408210575280832,-1.0781838051640156,0.03736274763593239
85,-0.13101533005178828,-0.1760756199485871,0.045060289896798805,-1.1188227920015184,-0.9843766433940419,0.1344461486074765,0.11710105567067361,0.17887017243876716,0.061769116768093546
86,-0.922298163096761,-0.9234584470040598,0.0011602839072987203,-0.3889729714713227,-0.38369844494974187,0.005274526521580836,2.371111184430351,2.4067297096422102,0.035618525211859264
87,-0.8218158611534606,-0.8218178366308225,1.9754773619151678e-06,0.5697319369009409,0.569750334265312,1.8397364371036673e-05,-1.4424605817671574,-1.4424174716642324,4.3110102925014715e-05
88,0.035398302733664115,0.03539830273366068,3.434752482434078e-15,0.9993732836951246,0.9993732836951247,1.1102230246251565e-16,0.035420501339380364,0.03542050133937693,3.434752482434078e-15
89,0.8600656732443756,0.8600694058124533,3.7325680777300363e-06,0.5101446705321665,0.5101770449416689,3.237440950243364e-05,1.685925038376237,1.6858253705060158,9.966787022119838e-05
90,0.8924049474141706,0.8939966636005579,0.0015917161863872042,-0.4550537494117002,-0.4480736161291701,0.006980133282530054,-1.96109788913482,-1.995200412208242,0.034102523073421986
91,0.050469209780013236,0.10598751175115685,0.055518301971143616,-1.156020970890741,-0.9943674609282015,0.16165350996253947,-0.043657693978618343,-0.10658787210537021,0.06293017812675186
92,-0.7756089727348273,-0.7794660696158047,0.003857096880977351,-0.6417334132889639,-0.626444447910339,0.015288965378624897,1.2086155351639467,1.2442700581287092,0.03565452296476246
93,-0.9482622185462551,-0.9482821412699473,1.9922723692111788e-05,0.31728545201453756,0.31742870151970165,0.00014324950516408919,-2.988672227249824,-2.9873862594340443,0.0012859678157797205
94,-0.24525198545795493,-0.24525198546765434,9.699407943486449e-12,0.9694593663178546,0.9694593666699876,3.521329894340397e-10,-0.25297809684325095,-0.2529780967613677,8.188327793590133e-11
95,0.6832615033330701,0.683261714736121,2.114030508426623e-07,0.7301710345315702,0.7301735609948197,2.526463249497013e-06,0.935755420332999,0.9357524720632393,2.9482697596616703e-06
96,0.9831704120686939,0.9835877454343449,0.0004173333656509737,-0.18256087209484523,-0.18043044929108396,0.0021304228037612727,-5.385438844518177,-5.451340110823241,0.06590126630506443
97,0.35627839594878585,0.3796077390275217,0.023329343078735854,-1.0003021082792387,-0.9251475365964139,0.0751545716828248,-0.3561707938031549,-0.41032129904824216,0.054150505245087244
98,-0.5622946314548029,-0.5733818719904229,0.011087240535620047,-0.8582159744190506,-0.8192882452914593,0.03892772912759135,0.6551901248813682,0.6998536538095259,0.044663528928157725
99,-0.9990821788934912,-0.9992068341863537,0.00012465529286254107,0.03909151564574531,0.0398208803931389,0.0007293647473935877,-25.557519640511316,-25.092534979676547,0.4649846608347694
100,-0.506365631890053,-0.5063656411097588,9.219705776608578e-09,0.8623187161001304,0.8623188722876839,1.561875534461521e-07,-0.5872140108243401,-0.5872139151569291,9.566741099309439e-08
